rollno,name,email,mobile,xsc,csxs,wscsxs,DAC CA
23,Mohit,mohit@gmail.com,8888888888,wswxs,wdxa,xaazAXS,ACDC
34,Ankit,ankit@gmail.com,9999999999,xwa,wxsx,,
23,Shubham,shubham@gmail.com,6666666666,wdxwa,,,
34,Vishal,vishal@gmail.com,7777777777,,,,
2,Tarun,tarun@gmail.com,3333333333,,,,
34,Piyush,piyush@gmail.com,1111111111,,,,
6,Pankaj,pankaj@gmail.com,2222222222,,,,
56,Abhi,abhi@gmail.com,4444444444,,,,
56,Sahankar,sahankar@gmail.com,9999999909,,,,
45,Krishna,krishna@gmail.com,6666666666,,,,
